"","Diversity...Non.White.","Diversity..Standard.deviation.of.Population.Groups.","X2020_pop","X2010_pop","Growth.2010.2020","Adjusted.Median.Household.Income","Fortune.500.Companies.per.capita","Fortune.500","Housing","Cost.of.Living","Startups","Unemployment.Rate","Venture.Capital","Travel.Connectivity","Commute","Safety","Healthcare","Education","Environmental.Quality","Taxation","Internet.Access","Leisure...Culture","Outdoors","Tolerance"
"Washington",45.3,19.13,9973383,9086279,9.76,80898,2.01,20,1.2105,3.595,8.774,4.9,8.056,4.505,4.457,2.1915,6.258,5.9685,6.99375,4.062,3.8255,10,5.0235,6.5495
"Minneapolis-Saint Paul",20.4,34.67,4078788,3712764,9.86,74922,3.92,16,4.7385,5.042,6.5265,3.5,5.523,3.544,4.925,5.085,6.681,5.2745,8.362,4.062,6.2585,6.8505,5.096,7.288
"Raleigh",37.9,23.99,2106463,1748939,20.44,74842,0.95,2,6.1285,5.61,5.497,3.7,5.157,1.757,4.78425,6.5225,6.677333333,7.1165,8.58375,4.062,7.9515,6.613,3.3905,7.562
"San Francisco Bay Area",56.2,13.52,9432821,8942811,5.48,73858,3.82,36,1,2.618,10,5.6,10,3.6545,4.68725,5.7155,6.449,8.6245,6.4815,4.488,5.6055,9.407,7.014,8.0125
"Austin",45.5,22.04,2283371,1727502,32.18,73067,0.88,2,4.3345,5.355,9.236,3.8,6.939,1.8515,4.3305,5.069,6.281666667,5.315,7.03075,4.772,9.049,6.698,3.909,6.7895
"Seattle",27.4,28.09,4871272,4285795,13.66,72798,1.64,8,2.291,3.79,8.367,5,7.551,2.8845,4.52375,5.6365,6.309666667,5.7145,7.56025,4.772,4.9405,8.1155,7.2095,8.0895
"Salt Lake City",19.2,35.7,2701129,2281624,18.39,72159,0,0,6.141,6.172,6.3,2.6,7.09,2.737,4.574,5.657,6.246333333,4.2805,6.21575,4.204,6.8105,5.932,6.641,8.6225
"Denver",31.5,28.67,3623560,3103767,16.75,72035,0.55,2,3.8375,5.102,7.8645,5.5,6.117,4.243,4.53,5.371,6.220333333,3.6245,7.11675,4.346,5.4185,6.2235,7.933,7.8605
"Boston",23.7,32.69,8466186,7911851,7.01,71688,2.6,22,1,4.259,9.565,5,10,3.215,4.39625,7.742,6.729,8.6245,8.1705,4.062,5.7005,8.564,5.66,8.4815
"Kansas City",22.3,33.41,2528644,2347356,7.72,68913,0.79,2,6.7075,5.844,2.794,3.8,3.538,1.869,1.9725,4.4225,6.449666667,3.6245,7.9765,4.062,8.1885,6.6745,4.1615,5.0205
"Cincinnati",17.8,36.92,2316022,2200142,5.27,68744,3.02,7,6.6775,6.108,6.0995,4.4,2.709,1.9265,4.7435,4.975,6.346,4.2805,7.1095,3.9205,6.512,6.118,3.6075,5.299
"Columbus",21.2,34.42,2544048,2313138,9.98,68442,1.97,5,6.2895,5.746,5.8785,4.7,4.973,1.663,5.02675,5.2815,6.406,5.0475,8.166,3.9205,4.5535,6.466,4.545,5.9215
"Portland",21.6,33.18,3280736,2928483,12.03,68135,0.3,1,4.138,4.924,6.957,4.4,5.899,2.2405,4.908,5.1805,6.317666667,4.2155,8.4595,3.9205,5.9685,6.2195,6.304,8.1595
"St. Louis",23.3,33.94,2857982,2894934,-1.28,67381,1.75,5,6.958,5.504,5.424,4.2,3.885,2.5315,5.0855,3.8805,6.67,5.2715,7.37425,4.062,8.909,7.6425,4.8285,4.376
"Chicago",44.1,20.41,9986960,9850305,1.39,66584,3.1,31,3.702,4.766,9.513,7.1,8.368,5.5075,4.57975,3.832,6.216,7.999,6.8045,4.062,6.5995,8.193,5.4155,6.134
"Atlanta",48.8,19.6,6930423,6072152,14.13,66563,2.31,16,4.9755,5.241,8.835,3.1,7.257,5.2915,3.89775,2.6725,6.023333333,6.457,5.81775,4.204,6.4805,7.7655,5.0095,4.062
